UnitedStates 2403
Germany 2062
France 636
Netherlands 511
China 380
Canada 346
UnitedKingdom 309
Singapore 302
RussianFederation 257
n/a 241
Japan 197
Switzerland 174
Korea,Republicof 143
Finland 142
HongKong 138
Australia 123
Sweden 96
Ireland 87
Lithuania 84
Italy 80
Ukraine 79
Romania 78
CzechRepublic 76
Spain 65
Bulgaria 57
Poland 57
Norway 57
Austria 46
Brazil 36
Belgium 33
Hungary 33
Belarus 31
India 30
Thailand 27
Greece 26
Slovakia 25
Malaysia 25
Denmark 24
Slovenia 23
Taiwan 22
SouthAfrica 19
Israel 18
Argentina 18
Portugal 17
NewZealand 15
Turkey 14
Latvia 13
Luxembourg 9
Estonia 8
Moldova,Republicof 7
Iceland 7
Kazakhstan 6
Mexico 5
Seychelles 5
Serbia 4
Croatia 4
Philippines 4
Uruguay 4
Chile 4
Venezuela 4
Vietnam 4
Indonesia 4
Georgia 3
Colombia 3
Curacao 3
Kyrgyzstan 3
Kenya 3
Cambodia 3
SaudiArabia 3
UnitedArabEmirates 3
Iran,IslamicRepublicof 3
BosniaandHerzegovina 2
Panama 2
Ecuador 2
Macao 2
CostaRica 2
Armenia 2
IsleofMan 2
Bermuda 1
Bahamas 1
Jersey 1
Belize 1
Reunion 1
Guatemala 1
Gibraltar 1
Andorra 1
PuertoRico 1
Paraguay 1
Peru 1
Pakistan 1
Monaco 1
Malta 1
FaroeIslands 1
Cyprus 1
Kuwait 1
DominicanRepublic 1
Macedonia 1
LaoPeople'sDemocraticRepublic 1
TrinidadandTobago 1
VirginIslands,British 1
VirginIslands,U.S. 1
Qatar 1
