VodafoneOno,S.A. 5 
SunNetworkHongKongL 5 
LimestoneNetworks,Inc. 5 
ZheyeNetworks 5 
MULTACOMCORPORATION 5 
UCloudHKHoldingsGrou 5 
ITLLLC 5 
HydraCommunicationsLtd 5 
BezeqInternational 5 
QSCAG 5 
Tele2NederlandB.V. 5 
MasterInternets.r.o. 5 
O2CzechRepublic,a.s. 5 
LayerstackLimited 5 
AcceleratedITServicesGmbH 5 
ISPproInternetKG 5 
NovusEntertainmentInc. 5 
CogecoCable 5 
green.chAG 5 
TeleColumbusAG 5 
2COMCoLtd. 5 
DataRoom,Inc 5 
eNETInc. 5 
SaltMobileSA 5 
ThinkDreamTechnologyLim 4 
VodafonePortugal-Commu 4 
ElladaProjectsB.V.trad 4 
IomartCloudServicesLim 4 
TiscaliSpA 4 
TeliaStofaA/S 4 
CNSERVERSLLC 4 
NetVisionLtd 4 
Dotsi,UnipessoalLda. 4 
RepublicanUnitaryTeleco 4 
Andrews&ArnoldLtd 4 
TeliaFinlandOyj 4 
OJSMoscowcitytelephone 4 
MediaServicePlusLLC 4 
SIALattelecom 4 
VodafoneLimited 4 
KDDICORPORATION 4 
PohangUniversityofScie 4 
NSSS.A. 4 
JSCISPsystem 4 
SimplyTransitLtd 4 
PrimusTelecommunications 4 
SMILESERV 4 
HOSTSPACENETWORKSLLC 4 
T-MobileAustriaGmbH 4 
EBOX 4 
TMNet,InternetService 4 
wilhelm.telGmbH 4 
NET1Ltd. 4 
DAOUTECHNOLOGY 4 
JeffColo 4 
HostHatch,Inc 4 
COOL-IDEAS 4 
VectraS.A. 4 
NosComunicacoes,S.A. 4 
KOMAXOOD 4 
TilaaB.V. 4 
LIWESTKabelmedienGmbH 4 
PerspectivaLtd. 4 
EOLOS.p.A. 4 
ComlinkTelecomLtd. 4 
SparkNewZealandTrading 4 
SlovakTelecom,a.s. 4 
PsychzNetworks 4 
FranTechSolutions 4 
HongKongBroadbandNetwo 4 
ConsortiumGARR 4 
CSLOXINFOPublicCompany 4 
WisconsinCyberLynkNetwo 4 
HostingOperatoreServer. 4 
PhilippineLongDistance 4 
BouyguesTelecomSA 4 
SaudiTelecomCompanyJSC 3 
SnapInternetLimited 3 
UCOMCorp. 3 
HGCGlobalCommunications 3 
StateEnterpriseScientif 3 
InternetThailandCompany 3 
CableOne 3 
NetByNetHoldingLLC 3 
Arachnitec,INC. 3 
RicaWebServices 3 
DuocastB.V. 3 
ProbeNetworks 3 
HawaiianTelcomServices 3 
KyivstarPJSC 3 
GlobalIPNetworksINC 3 
BroadnetAS 3 
BeijingBaiduNetcomScie 3 
AtlanticBroadbandFinanc 3 
TOTPublicCompanyLimited 3 
ExetelPtyLtd 3 
IMCLLC. 3 
KoreaAdvancedInstitute 3 
Joe'sDatacenter,LLC 3 
PJSCUkrtelecom 3 
ChubuTelecommunications 3 
HutchisonDreiAustriaGmbH 3 
ClosedJointStockCompan 3 
CyberWurxLLC 3 
PartnerCommunicationsLtd. 3 
SonderCloudLimited 3 
RackspaceITHostingASI 3 
InvitechMegoldasokZrt. 3 
RECONN.OperatorSvyazi,LLC 3 
LynetInternettAS 3 
zColo 3 
ChinaUnicomShanghainet 3 
UnetB.V. 3 
PASWERINTERNATIONALS.A. 3 
PrecisionTechnologyCons 3 
MetaPeer 3 
TELCOINABOXPTYLTD 3 
LightwaveNetworking,LLC 3 
CYBERDYNE 3 
TalentHouse,Inc. 3 
CariNet,Inc. 3 
JumpNetworksLtd 3 
TechcreaSolutionsSARL 3 
IccNetworksLtd 3 
ServicesAB 3 
kbroCO.Ltd. 3 
EuronetCommunicationsB.V. 3 
BIGLOBEInc. 3 
Vodafone-panafonHellenic 3 
On-CallSolutions 3 
CambriumITServicesB.V. 3 
DIGITavkozlesiesSzolga 3 
EDPNET 3 
RIOMediaa.s. 3 
CDM 3 
IskratelecomCJSC 3 
RouteLabelV.O.F. 3 
S.A. 3 
ATWInternetKft. 3 
FlokinetLtd 3 
JSCKazakhtelecom 3 
i3D.netB.V 3 
AbelohostBV 3 
HUAWEICLOUDS 3 
COPELTelecomunicaçõesS.A. 3 
LiquidWeb,L.L.C 3 
MYREPUBLICPTYLTD 3 
Entanet 3 
TelepointLtd 3 
ASNumberforCHINANETji 3 
HostingerInternationalL 3 
BGPNETGlobalASN 3 
ecotelcommunicationag 3 
Telemachd.o.o. 3 
SWITCH 3 
PEIvanovVitaliySergeevich 3 
SetiWebaLtd 3 
NYI 2 
ABCDEGROUPCOMPANYLIMITED 2 
InterhostCommunicationS 2 
UnilogicNetworksB.V. 2 
FAIRPOINTCOMMUNICATIONS, 2 
ClaranetLtd 2 
SabayDigitalCambodia  2 
Telecommunicationnetwork 2 
CloudIvLimited 2 
STARNET,s.r.o. 2 
TehnologiiBudushegoLLC 2 
PetersburgInternetNetwo 2 
MobileOneLtd.Mobile/Int 2 
ConsorcideServeisUnive 2 
NetrixSAS 2 
ATTOKYOCorporation 2 
HENGDANETWORKLIMITED 2 
InternetDataCenterService 2 
INTERNETMULTIFEEDCO. 2 
Unitedlayer,Inc. 2 
MSTNCJSC 2 
VSENETGmbH 2 
RadoreVeriMerkeziHizme 2 
XFoneLtd 2 
BhartiAirtelLtd.,Telem 2 
NETWORKINNOVATIONS,INC. 2 
NationalTelecom,CJSC 2 
Metroset 2 
Fl4CATTOWER 2 
ConsolidatedCommunicatio 2 
AdmanLLC 2 
Evocative,Inc. 2 
Forthnet 2 
POSTLuxembourg 2 
NETAIRs.r.o. 2 
ClouviderLimited 2 
TelecomBaltia,sia 2 
TOV'DreamLineHolding' 2 
ZyztmResearchDivision1 2 
BuckeyeCablevision,Inc. 2 
Versaweb,LLC 2 
InfinityDevelopmentsLim 2 
VirtualSystemsLLC 2 
PEBrezhnevDaniil 2 
OPTINET 2 
CosmonovaLLC 2 
MojoNetworks 2 
MultimediaPolskaS.A. 2 
CANTVServicios,Venezuela 2 
VodafoneSpain 2 
TOCICILLC 2 
NetComBWGmbH 2 
ServerelInc. 2 
UniversityofPennsylvania 2 
LeasewebUSA,Inc. 2 
RWTHAachenUniversity 2 
ARPNETWORKS,INC. 2 
GiganetInternetSzolgalt 2 
TELE2 2 
ImproWareAG 2 
CESNETz.s.p.o. 2 
TradersoftLLC 2 
KuaiyunInformationTechn 2 
servingaGmbH 2 
CHINANETGuangdongprovin 2 
MAROSNETTelecommunicatio 2 
CWVodafoneGroupPLC 2 
RuscomLtd. 2 
FreifunkRheinlande.V. 2 
NextGenTelAS 2 
HostwindsLLC. 2 
EmiratesTelecommunicatio 2 
JupiterTelecommunication 2 
Intersvyaz-2JSC 2 
SURFnetbv 2 
MivoCloudSRL 2 
ChecktorLimited 2 
LanetNetworkLtd 2 
AdworldsTechnologiesLp 2 
CyprusTelecommunications 2 
CloudVPSB.V. 2 
PJSCIndustrialMediaNet 2 
LuxembourgOnlineS.A. 2 
PogoZone 2 
VoyagerInternetLtd. 2 
ParagonInternetGroupLi 2 
OJSCComcor 2 
EPBFiberOptics 2 
LibertyChristianSchool 2 
FilancoLLC 2 
IFXNetworksVenezuelaC.A. 2 
Wi-ManxLimited 2 
Sharktech 2 
CIKTelecomINC 2 
ManagedNetworkSystemsInc. 2 
AC-NetExternserviceAB 2 
lagisInternetServicePr 2 
RadioLANspol.sr.o. 2 
PSInternetCompanyLLC 2 
LeasewebAsiaPacificpte 2 
AltusHostB.V. 2 
BinariangBerhad 2 
DeltaCableCommunication 2 
InfotechLtd. 2 
TelefonicadeArgentina 2 
UKDedicatedServersLimited 2 
InterWebMedia 2 
Bredband2AB 2 
TRKMetroLLC 2 
StartCommunications 2 
FreenetLTD 2 
USDedicated 2 
LLCKomTehCentr 2 
ArmstrongCableServices 2 
EVOBITSInformationTechn 2 
NetsignNetworksGmbH 2 
DenetronLLC 2 
QTnet,Inc. 2 
dogadoGmbH 2 
CloudComputingCorporation 2 
JMDIJacekMaleszko 2 
NovotelecomLtd 2 
GenossenschaftGGAMaur 2 
DISTRIBUTELCOMMUNICATION 2 
JSCSilknet 2 
AuraFiberOEA/S 2 
CooolboxAD 2 
SMARTComp.a.s. 2 
InMotionHosting,Inc. 2 
WillibaldHambammertradi 2 
8BirdsVideoInc 2 
TNNetOy 2 
RelinkLTD 2 
SerbiaBroadBand-SrpskeK 2 
AlphaInfonet 2 
DeltaSoftmediaLtd. 2 
iiNetLimited 2 
NetassistLimited 2 
DennisRainerWarnholztr 2 
EniigFiberA/S 2 
Hosterkg,Ltd. 2 
SamaraStateAerospaceUn 2 
DXTLTseungKwanOService 2 
BruteleSC 2 
UnderNetLLC 2 
IMAQLIQSERVICELtd 2 
Protected.CAInc. 2 
NTEBredbandAS 2 
EPMTelecomunicacionesS. 2 
CoreSpace,Inc. 2 
TheCommunicationAuthoit 2 
KINX 2 
OctopusnetLTD 2 
Kcom 2 
ISILinesrl 2 
CloudSouth 2 
kabelplusGmbH 2 
PTTelekomunikasiIndonesia 2 
MaxiTELTelecomB.V. 2 
ITsjefenAS 2 
VarnaNetLtd. 2 
Saint-PetersburgComputer 2 
ShanghaiAnchangNetwork 2 
TeliaLatvijaSIA 2 
BaytemsHoldingsOy 2 
KaunoTechnologijosUnive 2 
VodafoneNZLtd. 2 
CallPlusServicesLimited 2 
TianxinGroupCo.,Limited 2 
CommunityRack.orgVerein 2 
HrvatskiTelekomd.d. 2 
PrimaS.A. 2 
SystemServiceLtd. 2 
MaginfoCJSC 2 
SHRDSARL 2 
UcomLLC 2 
Steadfast 2 
ShenZhenTopwayVideoCom 2 
PenTeleDataInc. 2 
GIGASHOSTINGUSA,LLC 2 
StockholmsStadsnatAB 2 
FikriDAL 2 
XenositeB.V. 2 
CompanhiadeTelecomunica 2 
ARTERIANetworksCorporation 2 
ViettelGroup 2 
HostUniversalPtyLtd 2 
HostingSolutionLtd. 2 
NewContinuumHoldingsCo 2 
Superloop 2 
TKTelekomsp.zo.o. 1 
TRUEINTERNETCo.,Ltd. 1 
JSCCInterdnestrcom 1 
NingxiaWestCloudDataT 1 
SkyNetLtd. 1 
FOPKovalDmitroOrestovich 1 
Telsetltd 1 
CapitalonlineDataServic 1 
KDDHONGKONGLIMITED 1 
TELEALFACOMCIA.LTDA. 1 
CascadeDivideColo,Inc. 1 
N.T.Technology,Inc. 1 
TamatiyaEOOD 1 
UniversityofCalifornia, 1 
BabillardSynapseInc. 1 
TotalServerSolutionsL. 1 
TelecomArgentinaS.A. 1 
VsevnetLtd. 1 
HopOneInternetCorporation 1 
TaiwanAcademicNetwork  1 
MelitaLimited 1 
ProimageEngineeringand 1 
WebairInternetDevelopme 1 
BENESTRA,s.r.o. 1 
UninetS.A.deC.V. 1 
PEGritcunOleksandrVikt 1 
OriontelecomLtd. 1 
PACSWITCHIPNETWORK 1 
StarHubLtd 1 
NatCoWebCorp. 1 
InetmarinternetHizmetle 1 
InternapCorporation 1 
ContentDeliveryNetworkLtd 1 
GigacabledeAguascalient 1 
KPTNetworkB.V. 1 
iCONNECT 1 
UniversityofTulsa 1 
AlloCommunicationsLLC 1 
GloboTechCommunications 1 
InformationTechnologiesLLC 1 
LaoDataCenter 1 
ETSTELEPHONECOMPANY,INC. 1 
JACKSONENERGYAUTHORITY 1 
UK-2Limited 1 
TelenetSIA 1 
InfolinkGlobalCorporation 1 
FarmersTelephoneCoopera 1 
TurksatUyduHaberlesmev 1 
eSecureData 1 
AndreasFinktradingasF 1 
Ielo-liazoServicesSAS 1 
hongkongkwaifonginforma 1 
BlackMesaWireless,LLC. 1 
Plexicomm,LLC 1 
BIZNETNETWORKS 1 
GrandeCommunicationsNet 1 
CasablancaINT 1 
PEGTECHINC 1 
ESCOMLtd.-Haskovo 1 
SolnodePtyLtd 1 
TELECALLTELECOMUNICACOES 1 
LF.netNetzwerksystemeGmbH 1 
OptilinkLtd 1 
ElisaTeleteenusedAS 1 
BITelGesellschaftfuerT 1 
PeakInternet,LLC 1 
AziendaPubbliserviziBru 1 
SOUTHARKANSASTELEPHONE 1 
ChatangoLLC 1 
Tovberlayn 1 
CherrylandServicesInc 1 
YahooJapanCorporation 1 
KabelovatelevizeKoprivn 1 
R-KOMRegensburgerTeleko 1 
VereinigteStadtwerkeMed 1 
LongmontPower&Communic 1 
East&WestSp.zo.o. 1 
OtecelS.A. 1 
TelecabledeAsturias,SA 1 
UniserverInternetB.V. 1 
RegionalInformationalCo 1 
MultinetSp.zoo 1 
INEAS.A. 1 
INTERNETCZ,a.s. 1 
CerberusNetworksLtd 1 
PJSCBashinformsvyaz 1 
ChinaNetworksInter-Exch 1 
StellarAssociation,LLC 1 
UkrdatakomLtd 1 
TOTALPLAYTELECOMUNICACI 1 
Alestra,S.deR.L.deC.V. 1 
AmarutuTechnologyLtd 1 
PT.EkaMasRepublik 1 
CJHelloCo.,Ltd. 1 
ThuegaSmartServiceGmbH 1 
NeologyPtyLtd 1 
LLCPioneerNet 1 
A.g.e.NetworksSistemsS 1 
ColocationAmericaCorpor 1 
CtrlSDatacentersLtd. 1 
JABWireless,INC. 1 
WorldNewsPTE.LTD 1 
Hi-NetSrl 1 
NxtserversSrl 1 
Telgua 1 
SUPERMEDIASp.z.o.o. 1 
inexioInformationstechno 1 
MegasvyazLLC 1 
DorukIletisimveOtomasy 1 
HomeTelephoneCompany,Inc. 1 
KurashikiCableTV 1 
CableOnda 1 
SymbioSystemsLLC 1 
TrafficBroadbandCommuni 1 
YesNetworksUnlimitedLtd 1 
EllInnovationsPvtLtd 1 
SeoulNationalUniversity 1 
NetDataComm,s.r.o. 1 
NetworkInternet 1 
OwnitAB 1 
2CloudLtd. 1 
PJSCMegaFon 1 
itselfs.r.o. 1 
Guangdong 1 
BSESoftwareGmbH 1 
GeodimLtd. 1 
SimplusInvestSRL 1 
ProlineTMLtd. 1 
FiberbyApS 1 
ARLINKS.A. 1 
ParsOnlinePJS 1 
CentralTelegraphPublic 1 
ASTELNETs.r.o. 1 
Ukfast.netLimited 1 
Host-Telecom.coms.r.o. 1 
Conecta-3TelecomSl 1 
AlsenetSA 1 
