35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP  151000   1207705428     0.8508
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP  120805   966202767  0.6807
3Nxwenay9Z8Lc9JBiywExpnEFiLp6Afp8v  102848   822584957    0.5795
3QjvmQSvufx54RDAoZdXzkj2WZG7xdvv3i  88888   710929977    0.5009
183hmJGRuTEi2YDCWy5iozY8rZtFwVgahM 85947   687410516    0.4843
1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF 79957   639501061    0.4505
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r  76893   614993711  0.4333
1HQ3Go3ggs8pFnXuHVHRytPCq5fGG8Hbhx 69370   554825228    0.3909
32MHMmESiEYaBeZrCbpxMu6UF7LKDLdBPX  68570   548422550  0.3864
3P4na4hxDwGNx4D9oQqQoBTGws6pdwnnCJ 59294   474235578  0.3341
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC 53880   430934986  0.3036
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67  53546   428266123  0.3017
1JCe8z4jJVNXSjohjM4i9Hh813dLCNx2Sy 53000   423896349    0.2986
1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA 51830   414541383  0.2920
15VREscuZWHb41zzyivw6ZYagMyJ6YKFHd 47000   375908608  0.2648
3Ap6mixhHLmVtH41YHH94Ut4jBfmqRpzgQ  45499   363901269  0.2564
37x6JnDNhbsBw95bvEreB7WHWA74gGR17y  45488   363814014  0.2563
33VMRgxXZWgZGmGnGRZ9AEW8bZs8scMiY1  44888   359016313    0.2529
323ENWgPNZdzsm2d6CzEaPTFrvavn1giv5  44803   358340198    0.2525
3CqBquEFMYY548fNBz8u2MBw3HKprS3Xft  44742   357848728    0.2521
3R1hBCHURkquAjFUv1eH5u2gXqooJkjg4B  41899   335112989    0.2361
bc1q5shngj24323nsrmxv99st02na6srekfctt30ch 40000   319924305  0.2254
3H5JTt42K7RmZtromfTSefcMEFMMe18pMD 37181   297374318  0.2095
17hf5H8D6Yc4B7zHEg3orAtKn7Jhme7Adx 36000   287929536    0.2028
32GxivQN3VKtVEtgsH5uTWfXd5b2LkXyUZ  32490   259852649    0.1831
13JQwoSLLR3ffXwswe2HCTK9oq4i8MWK3q 31010   248019380    0.1747
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr  31000   247939856    0.1747
336xGpGweq1wtY4kRTuA4w6d7yDkBU9czU  30070   240502972  0.1694
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv 28151   225153334    0.1586
