laanwj 6085
MarcoFalke 1759
sipa 1685
gavinandresen 1101
jonasschnelli 663
TheBlueMatt 635
theuni 585
jnewbery 465
practicalswift 416
luke-jr 378
non-github-bitcoin 271
gmaxwell 267
fanquake 261
ryanofsky 238
sdaftuar 237
promag 213
morcos 209
jtimon 168
achow101 148
paveljanik 109
ken2812221 105
petertodd 102
instagibbs 102
meshcollider 101
kallewoof 92
Empact 90
pstratem 81
jimpo 76
cozz 70
hebasto 66
jamesob 57
domob1812 46
ajtowns 45
Sjors 45
rebroad 35
muggenhor 34
satoshinnakamoto 34
JeremyRubin 33
btcdrak 32
CodeShark 32
dongcarl 31
dooglus 30
jl2012 28
Michagogo 25
dexX7 22
gwillen 21
NicolasDorier 20
wtogami 19
kazcw 19
dgenr8 18
eklitzke 17
mrbandrews 17
mruddy 17
sdkfjlsfjlskdfjlsdjflsjf 16
super3 16
danra 16
AkioNak 15
casey 15
skeees 15
kdomanski 15
251Labs 15
scravy 15
jimmysong 14
harding 13
ENikS 13
str4d 13
maaku 13
tjps 12
murrayn 12
droark 12
21E14 11
nomnombtc 11
dcousens 11
mrwhythat 11
mess110 10
codler 10
wizeman 10
roques 9
conscott 9
jmcorgan 9
pvasin2 9
rnicoll 9
benthecarman 9
merland 9
ajweiss 8
schildbach 8
Christewart 8
jlopp 8
jordanlewis 8
joshtriplett 8
kristapsk 8
PierreRochard 8
isle2983 8
sipsorcery 8
devrandom 8
jgarzik 8
forrestv 7
jonatack 7
freewil 7
marcoagner 7
sinetek 7
wodry 7
celil-kj 7
runeksvendsen 7
sje397 7
lucash-dev 7
EthanHeilman 7
ashleyholman 6
dertin 6
Matoking 6
JeremyRand 6
masonicboom 6
mgiuca 6
OttoAllmendinger 6
vegard 6
zw 6
fsb4000 6
p2k 6
randy-waterhouse 6
jrmithdobbs 6
donaloconnor 6
JoelKatz 6
martinus 6
MitchellCash 6
alexanderkjeldaas 5
ariard 5
rex4539 5
DrahtBot 5
federicobond 5
gkrizek 5
hkjn 5
jeffrade 5
greenaddress 5
maraoz 5
mndrix 5
robbak 5
r000n 5
roybadami 5
vinniefalco 5
lemzwerg 5
whitj00 5
accraze 5
andrewtoth 5
fcicq 5
gubatron 5
ptschip 5
sandakersmann 5
rdponticelli 5
TheCharlatan 5
ericshawlinux 5
paraipan 4
brandondahler 4
CryptAxe 4
daniel-s-ingram 4
DomT4 4
EricJ2190 4
4tar 4
jameshilliard 4
jayschwa 4
ch4ot1c 4
JustinTArthur 4
kostaz 4
LongShao007 4
mibe 4
randolf 4
romanz 4
real-or-random 4
UdjinM6 4
vasild 4
vsrinivas 4
arowser 4
fivepiece 4
globalcitizen 4
grimd34th 4
keystrike 4
JBaczuk 4
Xekyo 4
hmel 4
unsystemizer 4
AmirAbrams 3
amitiuttarwar 3
bytting 3
davecgh 3
BitonicEelis 3
ers35 3
Flowdalic 3
ian-kelling 3
isghe 3
jonls 3
jonasnick 3
Krellan 3
ldenman 3
lucayepa 3
ChoHag 3
pinheadmz 3
bitstein 3
Mirobit 3
mikehearn 3
prusnak 3
Bushstar 3
richardkiss 3
RHavar 3
SergioDemianLerner 3
shaulkf 3
spencerlievens 3
stevenroose 3
tholenst 3
afk11 3
Tyler-Hardin 3
flack 3
lpescher 3
mryandao 3
al42and 3
cdecker 3
dajohi 3
karel-3d 3
posita 3
PRabahy 3
Varunram 3
djpnewton 3
imharrywu 3
lmanners 3
1Il1 2
aarongolliver 2
adamjonas 2
axvr 2
alexwaters 2
leishman 2
krab 2
AliceWonderMiscreations 2
flipbitsnotburgers 2
negedzuregal 2
anditto 2
alecalve 2
bencxr 2
kanzure 2
cbeams 2
chrisgavin 2
cdhowie 2
colindean 2
esotericnonsense 2
bytemaster 2
enmaku 2
spiechu 2
xslidian 2
DesWurstes 2
dlitz 2
nobled 2
Mischi 2
FelixWeis 2
fametrano 2
Flavien 2
gdm85 2
GreatSock 2
haakonn 2
hsjoberg 2
welshjf 2
wjx 2
joaopaulofonseca 2
jonathancross 2
kevcooper 2
Kvaciral 2
ldm5180 2
mariodian 2
mhanne 2
murtyjones 2
musalbas 2
nathaniel-mahieu 2
nbenoit 2
pavlosantoniou 2
robvanmieghem 2
rustyrussell 2
satwo 2
maqifrnswa 2
sime 2
sgimenez 2
drizzt 2
thofmann 2
jb55 2
pirapira 2
aideca 2
constantined 2
crowning 2
gustavonalle 2
imwuzhh 2
kobake 2
smatthewenglish 2
r8921039 2
ayeowch 2
knocte 2
apoelstra 2
anduck 2
Derek701 2
532479301 1
enterprisey 1
AbrahamJewowich 1
DeftNerd 1
agl 1
plaxton 1
aitorpazos 1
OmeGak 1
Alex-van-der-Peet 1
AlexJeng 1
alexreg 1
Mr-Leshiy 1
alfiedotwtf 1
ali1234 1
Csi18nAlistairMann 1
AllanDoensen 1
Altoidnerd 1
Altoidnerd1 1
amiryal 1
andersoyvind 1
Elbandi 1
Ov3rlo4d 1
anddam 1
s3erios 1
aalness 1
iongchun 1
Arnavion 1
arnuschky 1
AtsukiTak 1
awemany 1
bardiharborow 1
benhc123 1
blrhc 1
bmwiedemann 1
BitcoinPRReadingGroup 1
blakejakopovic 1
brandonrninefive 1
carryforward 1
brianmcmichael 1
jcalvinowens 1
calvintam 1
kr105 1
sp4ke 1
coblee 1
catilac 1
carnesen 1
ccapo 1
chriswheeler 1
cbarcenas 1
BitsInMyBlood 1
sarchar 1
Ciemon 1
clemtaylor 1
pygeek 1
CohibAA 1
conradoplg 1
cornelius 1
cyounkins 1
CryptoDJ 1
infertux 1
dagurval 1
daira 1
meeDamian 1
Willtech 1
dbolser 1
witten 1
dlo 1
da2x 1
dholbert 1
sangaman 1
trulex 1
DaveFromBinary 1
DavidGriffith 1
davidsgrogan 1
dserrano5 1
CypherGrue 1
